query_id	Q0	doc_id	rank	score	tag
0 Q0 26731863 0 0.11689 tag_0_26731863
2 Q0 17333231 0 0.38617 tag_2_17333231
4 Q0 7165938 0 0.38201 tag_4_7165938
6 Q0 23117378 0 0.61915 tag_6_23117378
9 Q0 44265107 0 0.58006 tag_9_44265107
10 Q0 25510546 0 0.29773 tag_10_25510546
11 Q0 25510546 0 0.29130 tag_11_25510546
12 Q0 11705328 0 0.43345 tag_12_11705328
14 Q0 14663842 0 0.51381 tag_14_14663842
15 Q0 3863543 0 0.29557 tag_15_3863543
17 Q0 7662395 0 0.55452 tag_17_7662395
18 Q0 7165938 0 0.38201 tag_18_7165938
19 Q0 3202143 0 0.21507 tag_19_3202143
20 Q0 3202143 0 0.21507 tag_20_3202143
21 Q0 41493639 0 0.38307 tag_21_41493639
22 Q0 6490571 0 0.45709 tag_22_6490571
24 Q0 15128866 0 0.48818 tag_24_15128866
25 Q0 23117378 0 0.61915 tag_25_23117378
26 Q0 4336849 0 0.31387 tag_26_4336849
27 Q0 4336849 0 0.31086 tag_27_4336849
28 Q0 14938990 0 0.54923 tag_28_14938990
30 Q0 13069283 0 0.65544 tag_30_13069283
32 Q0 12428497 0 0.57908 tag_32_12428497
34 Q0 8595678 0 0.57690 tag_34_8595678
35 Q0 16252863 0 0.44420 tag_35_16252863
37 Q0 16252863 0 0.44420 tag_37_16252863
39 Q0 34198460 0 0.28938 tag_39_34198460
40 Q0 34198460 0 0.30096 tag_40_34198460
41 Q0 18174210 0 0.30775 tag_41_18174210
43 Q0 40234452 0 0.29958 tag_43_40234452
44 Q0 41264017 0 0.34961 tag_44_41264017
45 Q0 41264017 0 0.35890 tag_45_41264017
46 Q0 380526 0 0.72915 tag_46_380526
47 Q0 26996935 0 0.66367 tag_47_26996935
52 Q0 25973484 0 0.29881 tag_52_25973484
55 Q0 49556906 0 0.65873 tag_55_49556906
58 Q0 22185730 0 0.69926 tag_58_22185730
60 Q0 13899137 0 0.53202 tag_60_13899137
61 Q0 13899137 0 0.53218 tag_61_13899137
62 Q0 25510546 0 0.29396 tag_62_25510546
63 Q0 21295300 0 0.63033 tag_63_21295300
64 Q0 21295300 0 0.64185 tag_64_21295300
66 Q0 39443128 0 0.23285 tag_66_39443128
67 Q0 21295300 0 0.79730 tag_67_21295300
68 Q0 29429111 0 0.37284 tag_68_29429111
69 Q0 3849194 0 0.48174 tag_69_3849194
71 Q0 16267205 0 0.25310 tag_71_16267205
73 Q0 6076903 0 0.27701 tag_73_6076903
74 Q0 25657127 0 0.45417 tag_74_25657127
76 Q0 5531479 0 0.64849 tag_76_5531479
77 Q0 5531479 0 0.64641 tag_77_5531479
78 Q0 10494012 0 0.36757 tag_78_10494012
79 Q0 4407455 0 0.59271 tag_79_4407455
80 Q0 17462437 0 0.46303 tag_80_17462437
81 Q0 38919140 0 0.59622 tag_81_38919140
82 Q0 1905095 0 0.31168 tag_82_1905095
85 Q0 16322674 0 0.32683 tag_85_16322674
86 Q0 16322674 0 0.32683 tag_86_16322674
88 Q0 12827098 0 0.38181 tag_88_12827098
89 Q0 24594624 0 0.58613 tag_89_24594624
90 Q0 24594624 0 0.58613 tag_90_24594624
91 Q0 27076725 0 0.28766 tag_91_27076725
92 Q0 27076725 0 0.28766 tag_92_27076725
93 Q0 34469966 0 0.44263 tag_93_34469966
95 Q0 7433668 0 0.27540 tag_95_7433668
96 Q0 14500725 0 0.48105 tag_96_14500725
98 Q0 6540064 0 0.49099 tag_98_6540064
104 Q0 32159283 0 0.28362 tag_104_32159283
105 Q0 36606083 0 0.39909 tag_105_36606083
106 Q0 25515907 0 0.53562 tag_106_25515907
108 Q0 22995579 0 0.82478 tag_108_22995579
109 Q0 29381091 0 0.56141 tag_109_29381091
111 Q0 13513790 0 0.47926 tag_111_13513790
112 Q0 26199970 0 0.45535 tag_112_26199970
114 Q0 33872649 0 0.20856 tag_114_33872649
116 Q0 33872649 0 0.18883 tag_116_33872649
119 Q0 5691302 0 0.53577 tag_119_5691302
120 Q0 5691302 0 0.52749 tag_120_5691302
121 Q0 20132778 0 0.39113 tag_121_20132778
122 Q0 20132778 0 0.39113 tag_122_20132778
123 Q0 4883040 0 0.48235 tag_123_4883040
126 Q0 27063470 0 0.24660 tag_126_27063470
134 Q0 20188586 0 0.37232 tag_134_20188586
138 Q0 26016929 0 0.62343 tag_138_26016929
139 Q0 3847200 0 0.32887 tag_139_3847200
144 Q0 10582939 0 0.34868 tag_144_10582939
149 Q0 6227220 0 0.56846 tag_149_6227220
152 Q0 15488881 0 0.39117 tag_152_15488881
153 Q0 9929089 0 0.45737 tag_153_9929089
154 Q0 9929089 0 0.46216 tag_154_9929089
155 Q0 18855191 0 0.31154 tag_155_18855191
156 Q0 10670430 0 0.34457 tag_156_10670430
157 Q0 39637840 0 0.60375 tag_157_39637840
159 Q0 3285322 0 0.60706 tag_159_3285322
160 Q0 23816832 0 0.49449 tag_160_23816832
161 Q0 20187433 0 0.35838 tag_161_20187433
164 Q0 5824985 0 0.60897 tag_164_5824985
165 Q0 5824985 0 0.55651 tag_165_5824985
166 Q0 18872233 0 0.68310 tag_166_18872233
167 Q0 18872233 0 0.69366 tag_167_18872233
168 Q0 5824985 0 0.61906 tag_168_5824985
169 Q0 5824985 0 0.56397 tag_169_5824985
172 Q0 14938990 0 0.57116 tag_172_14938990
173 Q0 8411251 0 0.57373 tag_173_8411251
174 Q0 33986507 0 0.21209 tag_174_33986507
175 Q0 33986507 0 0.21845 tag_175_33986507
176 Q0 25510546 0 0.27716 tag_176_25510546
177 Q0 9669099 0 0.69262 tag_177_9669099
178 Q0 4886637 0 0.48162 tag_178_4886637
181 Q0 34121231 0 0.23463 tag_181_34121231
182 Q0 4387494 0 0.49882 tag_182_4387494
184 Q0 23032247 0 0.43563 tag_184_23032247
186 Q0 16855829 0 0.31311 tag_186_16855829
187 Q0 16855829 0 0.31311 tag_187_16855829
189 Q0 3566945 0 0.51471 tag_189_3566945
196 Q0 19313533 0 0.53889 tag_196_19313533
197 Q0 20690388 0 0.37377 tag_197_20690388
199 Q0 46353045 0 0.17546 tag_199_46353045
200 Q0 20261352 0 0.24870 tag_200_20261352
201 Q0 32101982 0 0.28429 tag_201_32101982
203 Q0 9558539 0 0.39719 tag_203_9558539
204 Q0 23389795 0 0.38546 tag_204_23389795
205 Q0 23389795 0 0.40885 tag_205_23389795
209 Q0 25510546 0 0.27827 tag_209_25510546
210 Q0 13794374 0 0.49907 tag_210_13794374
211 Q0 14019636 0 0.46906 tag_211_14019636
214 Q0 27054878 0 0.41955 tag_214_27054878
220 Q0 19205437 0 0.72100 tag_220_19205437
221 Q0 4319174 0 0.24111 tag_221_4319174
222 Q0 4319174 0 0.24111 tag_222_4319174
223 Q0 42465769 0 0.21373 tag_223_42465769
224 Q0 952111 0 0.65799 tag_224_952111
225 Q0 952111 0 0.86599 tag_225_952111
226 Q0 952111 0 0.86539 tag_226_952111
227 Q0 10937190 0 0.25796 tag_227_10937190
228 Q0 4928057 0 0.42553 tag_228_4928057
229 Q0 8892905 0 0.31353 tag_229_8892905
235 Q0 9047718 0 0.21747 tag_235_9047718
241 Q0 8816869 0 0.35718 tag_241_8816869
242 Q0 8816869 0 0.35078 tag_242_8816869
243 Q0 8759633 0 0.43074 tag_243_8759633
244 Q0 21498497 0 0.47073 tag_244_21498497
245 Q0 25104843 0 0.62912 tag_245_25104843
246 Q0 25104843 0 0.61252 tag_246_25104843
247 Q0 10669582 0 0.45072 tag_247_10669582
250 Q0 14865329 0 0.41429 tag_250_14865329
251 Q0 14865329 0 0.42573 tag_251_14865329
253 Q0 42441846 0 0.52419 tag_253_42441846
254 Q0 42441846 0 0.52419 tag_254_42441846
255 Q0 3413083 0 0.32189 tag_255_3413083
256 Q0 3413083 0 0.32071 tag_256_3413083
258 Q0 8446259 0 0.41605 tag_258_8446259
259 Q0 20261352 0 0.40712 tag_259_20261352
262 Q0 14050257 0 0.55794 tag_262_14050257
263 Q0 30041340 0 0.36142 tag_263_30041340
264 Q0 11328820 0 0.32184 tag_264_11328820
265 Q0 2033917 0 0.66014 tag_265_2033917
266 Q0 8759633 0 0.31361 tag_266_8759633
267 Q0 5912283 0 0.28914 tag_267_5912283
272 Q0 11614737 0 0.61214 tag_272_11614737
