query_id	Q0	doc_id	rank	score	tag
0 Q0 16532419 0 0.30770 tag_0_16532419
2 Q0 4828631 0 0.36733 tag_2_4828631
4 Q0 24980622 0 0.35189 tag_4_24980622
6 Q0 2613775 0 0.65265 tag_6_2613775
9 Q0 24700152 0 0.29784 tag_9_24700152
10 Q0 25510546 0 0.66582 tag_10_25510546
11 Q0 25510546 0 0.64863 tag_11_25510546
12 Q0 40971746 0 0.35218 tag_12_40971746
14 Q0 27647593 0 0.54677 tag_14_27647593
15 Q0 15491308 0 0.32234 tag_15_15491308
17 Q0 26611834 0 0.44864 tag_17_26611834
18 Q0 24980622 0 0.35189 tag_18_24980622
19 Q0 16267205 0 0.33448 tag_19_16267205
20 Q0 16267205 0 0.33448 tag_20_16267205
21 Q0 2488880 0 0.36399 tag_21_2488880
22 Q0 21274919 0 0.34931 tag_22_21274919
24 Q0 18488986 0 0.33700 tag_24_18488986
25 Q0 2613775 0 0.65265 tag_25_2613775
26 Q0 38410121 0 0.25854 tag_26_38410121
27 Q0 38410121 0 0.24536 tag_27_38410121
28 Q0 28149602 0 0.48526 tag_28_28149602
30 Q0 24341590 0 0.43614 tag_30_24341590
32 Q0 33723822 0 0.47765 tag_32_33723822
34 Q0 8595678 0 0.30505 tag_34_8595678
35 Q0 16252863 0 0.42551 tag_35_16252863
37 Q0 16252863 0 0.42551 tag_37_16252863
39 Q0 13497630 0 0.54414 tag_39_13497630
40 Q0 13497630 0 0.49607 tag_40_13497630
41 Q0 18174210 0 0.56538 tag_41_18174210
43 Q0 19583924 0 0.48179 tag_43_19583924
44 Q0 11880289 0 0.36583 tag_44_11880289
45 Q0 11880289 0 0.38076 tag_45_11880289
46 Q0 380526 0 0.77999 tag_46_380526
47 Q0 26996935 0 0.70956 tag_47_26996935
52 Q0 10024681 0 0.59386 tag_52_10024681
55 Q0 3973445 0 0.40782 tag_55_3973445
58 Q0 22185730 0 0.43249 tag_58_22185730
60 Q0 22267225 0 0.37551 tag_60_22267225
61 Q0 22267225 0 0.35417 tag_61_22267225
62 Q0 25510546 0 0.65275 tag_62_25510546
63 Q0 21295300 0 0.45627 tag_63_21295300
64 Q0 21295300 0 0.47855 tag_64_21295300
66 Q0 20399078 0 0.42026 tag_66_20399078
67 Q0 21295300 0 0.67914 tag_67_21295300
68 Q0 21295300 0 0.54198 tag_68_21295300
69 Q0 11291348 0 0.62829 tag_69_11291348
71 Q0 16267205 0 0.33501 tag_71_16267205
73 Q0 16737210 0 0.43086 tag_73_16737210
74 Q0 14492339 0 0.30390 tag_74_14492339
76 Q0 52925737 0 0.56816 tag_76_52925737
77 Q0 52925737 0 0.44101 tag_77_52925737
78 Q0 6082738 0 0.37119 tag_78_6082738
79 Q0 36271512 0 0.51546 tag_79_36271512
80 Q0 4320424 0 0.37025 tag_80_4320424
81 Q0 28542402 0 0.29486 tag_81_28542402
82 Q0 3619372 0 0.64455 tag_82_3619372
85 Q0 26611834 0 0.31285 tag_85_26611834
86 Q0 26611834 0 0.31285 tag_86_26611834
88 Q0 16826810 0 0.35813 tag_88_16826810
89 Q0 25068298 0 0.53586 tag_89_25068298
90 Q0 25068298 0 0.53586 tag_90_25068298
91 Q0 9196472 0 0.30109 tag_91_9196472
92 Q0 9196472 0 0.30109 tag_92_9196472
93 Q0 4399311 0 0.47698 tag_93_4399311
95 Q0 18025240 0 0.36750 tag_95_18025240
96 Q0 14500725 0 0.62286 tag_96_14500725
98 Q0 6540064 0 0.29933 tag_98_6540064
104 Q0 7227763 0 0.28941 tag_104_7227763
105 Q0 14591894 0 0.24866 tag_105_14591894
106 Q0 25515907 0 0.69283 tag_106_25515907
108 Q0 22995579 0 0.63913 tag_108_22995579
109 Q0 29381091 0 0.61724 tag_109_29381091
111 Q0 13513790 0 0.54821 tag_111_13513790
112 Q0 6157837 0 0.38819 tag_112_6157837
114 Q0 21789744 0 0.23842 tag_114_21789744
116 Q0 30226988 0 0.26358 tag_116_30226988
119 Q0 15984735 0 0.34054 tag_119_15984735
120 Q0 15984735 0 0.33329 tag_120_15984735
121 Q0 12801438 0 0.58467 tag_121_12801438
122 Q0 12801438 0 0.58467 tag_122_12801438
